City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,71.26,83,20,0.0,few clouds
1,Kodiak,US,57.79,-152.4072,38.71,81,100,19.57,light rain
2,Egvekinot,RU,66.3167,-179.1667,15.35,93,100,4.43,overcast clouds
3,Vaini,TO,-21.2,-175.2,78.96,89,75,8.05,broken clouds
4,Aguilas,ES,37.4063,-1.5829,65.77,63,53,5.28,broken clouds
5,Ushuaia,AR,-54.8,-68.3,40.66,65,40,18.41,scattered clouds
6,Luderitz,NA,-26.6481,15.1594,57.31,80,5,13.89,clear sky
7,Khalilabad,IN,26.775,83.0736,70.97,71,0,2.75,clear sky
8,Rikitea,PF,-23.1203,-134.9692,73.45,85,100,9.26,overcast clouds
9,Fare,PF,-16.7,-151.0167,79.25,77,100,14.92,light rain
10,Hovd,MN,48.0056,91.6419,23.25,32,19,1.12,few clouds
11,Leh,IN,34.1667,77.5833,25.36,82,98,5.75,overcast clouds
12,Guantanamo,CU,20.1444,-75.2092,81.97,88,12,1.32,few clouds
13,Zhezkazgan,KZ,47.8043,67.7144,22.98,93,100,4.47,mist
14,Aloleng,PH,16.1307,119.7824,84.09,68,90,6.11,overcast clouds
15,Hobart,AU,-42.8794,147.3294,82.06,44,0,17.27,clear sky
16,Fukuma,JP,33.7667,130.4667,72.28,41,56,2.26,broken clouds
17,Ngunguru,NZ,-35.6167,174.5,64.22,90,93,17.25,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,60.1,68,0,11.99,clear sky
19,Alofi,NU,-19.0595,-169.9187,82.29,65,40,14.97,scattered clouds
20,Chuy,UY,-33.6971,-53.4616,58.08,94,47,6.69,scattered clouds
21,Port Alfred,ZA,-33.5906,26.891,59.18,97,100,10.76,overcast clouds
22,Ranong,TH,9.9658,98.6348,80.53,68,84,6.04,broken clouds
23,Bonthe,SL,7.5264,-12.505,77.94,82,1,3.09,light rain
24,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,75,11.5,broken clouds
25,Lazaro Cardenas,MX,17.9583,-102.2,78.06,84,4,4.45,clear sky
26,Xining,CN,36.6167,101.7667,44.55,50,57,2.15,broken clouds
27,Middlebury,US,44.0153,-73.1673,47.95,45,0,6.91,clear sky
28,Barrow,US,71.2906,-156.7887,28.42,80,0,14.97,clear sky
29,Clyde River,CA,70.4692,-68.5914,1.63,78,100,26.46,overcast clouds
30,Khorramshahr,IR,30.4397,48.1664,64.36,68,100,0.0,overcast clouds
31,General Roca,AR,-39.0333,-67.5833,56.62,63,100,10.36,light rain
32,Hilo,US,19.7297,-155.09,80.33,71,20,9.22,few clouds
33,Lucea,JM,18.451,-78.1736,78.66,76,12,5.7,few clouds
34,Vao,NC,-22.6667,167.4833,73.11,77,57,18.1,broken clouds
35,The Valley,AI,18.217,-63.0578,82.26,73,78,14.94,broken clouds
36,Butaritari,KI,3.0707,172.7902,81.73,71,100,19.82,overcast clouds
37,Leningradskiy,RU,69.3833,178.4167,0.12,87,100,4.76,overcast clouds
38,Guerrero Negro,MX,27.9769,-114.0611,65.43,75,100,18.21,overcast clouds
39,Kavieng,PG,-2.5744,150.7967,85.01,67,63,4.63,broken clouds
40,Albany,US,42.6001,-73.9662,45.3,51,0,3.67,clear sky
41,Busselton,AU,-33.65,115.3333,63.86,74,99,14.36,moderate rain
42,Ribeira Grande,PT,38.5167,-28.7,69.78,91,100,21.0,overcast clouds
43,Aykhal,RU,66.0,111.5,13.23,95,100,11.5,light snow
44,Saint-Philippe,RE,-21.3585,55.7679,71.19,74,62,6.29,broken clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,63.09,88,0,6.91,clear sky
46,Provideniya,RU,64.3833,-173.3,26.71,68,100,7.0,fog
47,Koshurnikovo,RU,54.1667,93.3,20.89,91,93,3.36,overcast clouds
48,Pisco,PE,-13.7,-76.2167,62.65,88,0,3.44,clear sky
49,Kutum,SD,14.2,24.6667,63.14,29,3,7.74,clear sky
50,Yellowknife,CA,62.456,-114.3525,9.12,85,100,11.5,light shower snow
51,Avarua,CK,-21.2078,-159.775,77.05,73,40,18.41,scattered clouds
52,Hermanus,ZA,-34.4187,19.2345,54.81,72,1,11.7,clear sky
53,San Patricio,US,28.017,-97.5169,78.66,73,25,9.31,scattered clouds
54,Georgetown,MY,5.4112,100.3354,84.13,84,20,10.36,few clouds
55,Namatanai,PG,-3.6667,152.4333,86.45,67,52,7.96,light rain
56,Aksu,CN,41.1231,80.2644,38.57,49,7,2.1,clear sky
57,Kruisfontein,ZA,-34.0033,24.7314,56.88,75,100,4.68,overcast clouds
58,Punta Arenas,CL,-53.15,-70.9167,41.11,65,20,13.8,few clouds
59,Iqaluit,CA,63.7506,-68.5145,11.93,67,100,16.11,light snow
60,Puntarenas,CR,9.9763,-84.8384,75.88,90,100,2.71,overcast clouds
61,Susehri,TR,40.1644,38.0867,43.68,90,91,2.01,overcast clouds
62,New Norfolk,AU,-42.7826,147.0587,81.72,36,76,4.0,broken clouds
63,East London,ZA,-33.0153,27.9116,63.91,79,100,7.11,light rain
64,Mataura,NZ,-46.1927,168.8643,58.48,30,0,5.21,clear sky
65,Sajanan,TN,37.0573,9.2426,52.72,45,100,2.51,overcast clouds
66,Victoria,HK,22.2855,114.1577,80.96,78,17,5.99,few clouds
67,Tiksi,RU,71.6872,128.8694,-10.84,97,99,8.57,overcast clouds
68,Kulhudhuffushi,MV,6.6221,73.07,81.19,73,99,4.56,overcast clouds
69,Klaeng,TH,12.7797,101.6483,84.94,65,99,7.7,overcast clouds
70,Tateyama,JP,34.9833,139.8667,68.9,55,0,19.22,clear sky
71,Airai,TL,-8.9266,125.4092,73.22,62,80,2.24,broken clouds
72,Gedo,ET,9.0167,37.45,52.0,79,91,1.74,overcast clouds
73,Okha,RU,53.5739,142.9478,26.92,72,100,25.23,overcast clouds
74,Kapaa,US,22.0752,-159.319,84.18,73,20,14.97,few clouds
75,Norman Wells,CA,65.282,-126.8329,10.44,85,20,5.75,few clouds
76,Itarema,BR,-2.9248,-39.9167,78.21,79,100,10.71,overcast clouds
77,Marawi,PH,7.9986,124.2928,79.9,68,97,4.85,overcast clouds
78,Sao Filipe,CV,14.8961,-24.4956,77.5,68,100,9.31,overcast clouds
79,Kununurra,AU,-15.7667,128.7333,98.58,39,40,8.05,scattered clouds
80,Aligudarz,IR,33.4006,49.6949,43.59,69,95,3.06,overcast clouds
81,Lambarene,GA,-0.7001,10.2406,73.6,97,100,1.05,light rain
82,Qaanaaq,GL,77.484,-69.3632,-7.51,60,95,6.17,overcast clouds
83,Muros,ES,42.7762,-9.0603,60.1,94,96,7.38,overcast clouds
84,Tura,IN,25.5198,90.2201,70.41,88,3,2.35,clear sky
85,Pevek,RU,69.7008,170.3133,-6.05,99,100,3.22,overcast clouds
86,Mongomo,GQ,1.6274,11.3135,66.87,100,100,2.3,light rain
87,Araceli,PH,10.5529,119.9913,83.82,78,100,12.62,light rain
88,Erie,US,42.7667,-78.6664,56.16,32,0,11.56,clear sky
89,Najran,SA,17.4924,44.1277,63.25,33,1,2.44,clear sky
90,Michigan City,US,41.7075,-86.895,64.92,52,0,10.36,clear sky
91,Minapasuk,PH,10.6988,123.3536,81.61,77,57,7.0,broken clouds
92,Port Blair,IN,11.6667,92.75,83.08,75,38,12.37,scattered clouds
93,Bluff,NZ,-46.6,168.3333,58.8,62,0,17.02,clear sky
94,Vanimo,PG,-2.6741,141.3028,83.75,80,80,5.08,light rain
95,Qaqortoq,GL,60.7167,-46.0333,25.27,88,100,3.38,overcast clouds
96,Fort Nelson,CA,58.8053,-122.7002,1.94,92,20,3.44,few clouds
97,Biloela,AU,-24.4167,150.5,84.96,26,100,3.44,overcast clouds
98,Husavik,IS,66.0449,-17.3389,41.47,99,100,9.4,overcast clouds
99,Labuhan,ID,-6.8844,112.2051,80.1,78,100,2.28,overcast clouds
100,Chernyshevskiy,RU,63.0128,112.4714,19.09,93,100,11.79,light snow
101,Katsuura,JP,35.1333,140.3,69.53,53,1,18.79,clear sky
102,Thompson,CA,55.7435,-97.8558,8.76,85,75,9.22,broken clouds
103,Hofn,IS,64.2539,-15.2082,43.74,93,100,18.75,overcast clouds
104,Misratah,LY,32.3754,15.0925,66.56,67,37,4.63,scattered clouds
105,Kabinda,CD,-6.1333,24.4833,63.21,98,100,1.99,overcast clouds
106,Saskylakh,RU,71.9167,114.0833,-16.49,98,94,6.2,overcast clouds
107,Solano,US,38.2333,-121.9511,54.95,71,0,8.05,clear sky
108,Chokurdakh,RU,70.6333,147.9167,-8.93,99,100,8.46,overcast clouds
109,Jamestown,US,42.097,-79.2353,56.79,27,0,12.66,clear sky
110,Carnarvon,AU,-24.8667,113.6333,69.91,57,92,13.94,overcast clouds
111,Ulaangom,MN,49.9811,92.0667,27.01,35,6,2.15,clear sky
112,Bredasdorp,ZA,-34.5322,20.0403,56.89,68,35,8.86,scattered clouds
113,Kloulklubed,PW,7.0419,134.2556,81.1,77,96,13.49,moderate rain
114,Hambantota,LK,6.1241,81.1185,77.34,100,75,2.3,broken clouds
115,Touros,BR,-5.1989,-35.4608,77.22,77,69,12.8,broken clouds
116,Eresos,GR,39.1667,25.9333,48.88,70,0,9.1,clear sky
117,Vila Velha,BR,-20.3297,-40.2925,71.55,94,0,4.61,clear sky
118,Haines Junction,CA,60.7522,-137.5108,12.15,79,100,3.44,overcast clouds
119,Richards Bay,ZA,-28.783,32.0377,70.41,92,98,14.29,light rain
120,Asfi,MA,32.2994,-9.2372,63.84,90,0,11.3,clear sky
121,Morondava,MG,-20.2833,44.2833,78.26,77,97,3.67,overcast clouds
122,Rabo De Peixe,PT,37.8,-25.5833,68.27,98,75,16.11,broken clouds
123,Machiques,VE,10.0644,-72.545,74.7,93,100,6.38,overcast clouds
124,Voyvozh,RU,62.892,54.9635,30.11,98,98,4.61,overcast clouds
125,Abha,SA,18.2164,42.5053,58.82,62,0,0.0,clear sky
126,Fukue,JP,32.6881,128.8419,68.36,83,100,2.3,light rain
127,Atuona,PF,-9.8,-139.0333,77.29,74,63,17.49,broken clouds
128,Tasiilaq,GL,65.6145,-37.6368,32.16,78,100,7.96,overcast clouds
129,Naze,JP,28.3667,129.4833,76.12,78,72,10.85,broken clouds
130,Balcani,RO,46.6333,26.55,47.08,81,52,3.02,broken clouds
131,Yen Bai,VN,21.7,104.8667,77.13,66,28,1.5,scattered clouds
132,Oussouye,SN,12.485,-16.5469,77.23,78,3,6.38,clear sky
133,Upernavik,GL,72.7868,-56.1549,5.22,71,99,5.39,overcast clouds
134,Lagoa,PT,39.05,-27.9833,67.89,86,100,26.22,overcast clouds
135,Nikolskoye,RU,59.7035,30.7861,49.91,94,100,8.55,overcast clouds
136,Yumen,CN,40.2833,97.2,39.38,40,100,15.43,overcast clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,38,5.01,scattered clouds
138,Grand Gaube,MU,-20.0064,57.6608,71.38,73,7,3.0,clear sky
139,Atbasar,KZ,51.8,68.3333,29.77,94,100,13.65,overcast clouds
140,Glenluce,GB,54.8798,-4.8084,54.93,87,100,20.98,overcast clouds
141,Khatanga,RU,71.9667,102.5,-5.73,99,100,5.37,overcast clouds
142,Gorin,RU,51.1983,136.6669,31.48,33,2,8.77,clear sky
143,La Ronge,CA,55.1001,-105.2842,-5.55,77,20,2.3,few clouds
144,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,20,0.0,few clouds
145,Iranshahr,IR,27.2025,60.6848,64.74,55,0,6.91,clear sky
146,Christchurch,NZ,-43.5333,172.6333,57.47,58,100,12.66,overcast clouds
147,Bubaque,GW,11.2833,-15.8333,81.95,71,0,10.31,clear sky
148,Longyearbyen,SJ,78.2186,15.6401,21.04,73,0,11.5,clear sky
149,Ibicarai,BR,-14.865,-39.5875,69.44,99,88,0.49,overcast clouds
150,Lithakia,GR,37.7167,20.8333,47.57,77,2,2.08,clear sky
151,Iquitos,PE,-3.7481,-73.2472,78.84,83,0,2.3,clear sky
152,Waingapu,ID,-9.6567,120.2641,87.06,63,17,10.11,few clouds
153,Lebu,CL,-37.6167,-73.65,54.59,84,67,17.4,broken clouds
154,Shingu,JP,33.7333,135.9833,66.65,70,91,5.99,overcast clouds
155,Okhotsk,RU,59.3833,143.3,8.33,63,2,19.28,clear sky
156,Artyom,AZ,40.4723,50.333,48.34,62,100,2.48,overcast clouds
157,Savonlinna,FI,61.8699,28.88,46.45,100,75,6.91,broken clouds
158,Bombay,IN,19.0144,72.8479,76.89,64,5,3.44,haze
159,Davila,PH,18.4726,120.5763,87.78,74,46,3.98,scattered clouds
160,Palora,EC,-1.7,-77.9333,64.53,96,69,3.44,broken clouds
161,Kresek,ID,-6.1314,106.3797,83.55,74,100,6.35,heavy intensity rain
162,Prince Rupert,CA,54.3161,-130.3201,35.29,54,100,12.66,overcast clouds
163,Portland,US,45.5234,-122.6762,44.94,83,9,3.0,clear sky
164,Lompoc,US,34.6391,-120.4579,53.78,84,0,13.8,clear sky
165,Kavaratti,IN,10.5669,72.642,82.8,70,59,10.94,broken clouds
166,Kostomuksha,RU,64.571,30.5767,29.35,98,100,6.82,light snow
167,Hithadhoo,MV,-0.6,73.0833,81.84,73,85,13.51,overcast clouds
168,Prainha,BR,-1.8,-53.48,77.41,77,98,2.64,overcast clouds
169,Lorengau,PG,-2.0226,147.2712,83.3,73,98,2.77,moderate rain
170,Cap Malheureux,MU,-19.9842,57.6142,71.47,73,7,3.0,clear sky
171,Rudbar,AF,30.15,62.6,58.17,36,20,1.43,few clouds
172,Bethel,US,41.3712,-73.414,48.56,79,0,1.99,clear sky
173,Marsa Matruh,EG,31.3525,27.2453,66.29,62,8,9.4,clear sky
174,Lappeenranta,FI,61.0587,28.1887,51.78,100,100,5.75,overcast clouds
175,Ancud,CL,-41.8697,-73.8203,50.9,95,100,0.54,light rain
176,Vardo,NO,70.3705,31.1107,37.38,81,100,10.36,overcast clouds
177,Saint George,US,37.1041,-113.5841,46.99,59,75,9.22,broken clouds
178,Resistencia,AR,-27.4606,-58.9839,75.18,47,0,10.36,clear sky
179,Ismailia,EG,30.6043,32.2723,61.21,69,0,6.73,clear sky
180,Isangel,VU,-19.55,169.2667,86.11,66,75,3.44,broken clouds
181,Ugoofaaru,MV,5.6667,73.0,80.71,74,100,3.18,overcast clouds
182,Quepos,CR,9.4236,-84.1652,75.83,89,100,0.85,overcast clouds
183,Nuuk,GL,64.1835,-51.7216,16.88,57,100,4.0,overcast clouds
184,Charagua,BO,-19.8,-63.2167,77.88,45,28,12.55,scattered clouds
185,Obihiro,JP,42.9172,143.2044,60.21,55,43,14.81,scattered clouds
186,Verkhnyaya Inta,RU,65.9811,60.3094,22.62,91,100,1.68,overcast clouds
187,Pacific Grove,US,36.6177,-121.9166,53.65,82,0,4.61,clear sky
188,Oranjemund,NA,-28.55,16.4333,57.33,92,7,10.67,clear sky
189,Honningsvag,NO,70.9821,25.9704,35.35,75,75,8.05,broken clouds
190,Isparta,TR,38.0,31.0,42.06,77,3,6.2,clear sky
191,Faanui,PF,-16.4833,-151.75,79.39,77,99,14.88,light rain
192,Nemuro,JP,43.3236,145.575,52.3,68,100,16.31,overcast clouds
193,Constitucion,CL,-35.3333,-72.4167,54.52,93,61,11.36,broken clouds
194,Severo-Kurilsk,RU,50.6789,156.125,39.34,84,100,20.96,overcast clouds
195,Ponta Do Sol,PT,32.6667,-17.1,68.63,83,31,2.89,scattered clouds
196,Lianzhou,CN,24.7811,112.3825,84.4,55,13,3.27,few clouds
197,Castro,BR,-24.7911,-50.0119,55.87,68,6,1.97,clear sky
198,Acarau,BR,-2.8856,-40.12,77.86,80,99,11.43,overcast clouds
199,Keflavik,IS,64.0049,-22.5624,40.91,100,100,12.66,overcast clouds
200,Zaria,NG,11.1113,7.7227,70.43,29,4,5.03,clear sky
201,Klaksvik,FO,62.2266,-6.589,49.12,92,97,21.21,light rain
202,Plettenberg Bay,ZA,-34.0527,23.3716,58.06,82,76,7.58,broken clouds
203,Cidreira,BR,-30.1811,-50.2056,62.76,87,2,3.56,clear sky
204,San Quintin,MX,30.4833,-115.95,60.75,62,0,16.2,clear sky
205,Baley,RU,51.6,116.6333,24.1,64,100,2.82,overcast clouds
206,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,75,5.75,broken clouds
207,Vila,PT,42.0304,-8.1588,49.08,94,93,3.62,overcast clouds
208,Longhua,CN,23.6137,114.1919,84.83,55,3,1.81,clear sky
209,Eydhafushi,MV,5.1033,73.0708,80.38,75,100,4.52,overcast clouds
210,Paamiut,GL,61.994,-49.6678,17.46,78,100,7.47,overcast clouds
211,Torbay,CA,47.6666,-52.7314,34.75,69,75,23.02,broken clouds
212,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,92,97,19.44,overcast clouds
213,Meadow Lake,US,34.8014,-106.5436,59.79,25,0,15.32,clear sky
214,Liverpool,GB,53.4106,-2.9779,56.52,90,100,9.22,overcast clouds
215,Andenes,NO,69.3143,16.1194,35.58,69,11,10.36,few clouds
216,Sal Rei,CV,16.1833,-22.9167,77.29,71,94,12.71,overcast clouds
217,Belyy Yar,RU,53.6039,91.3903,25.86,79,0,4.47,clear sky
218,Dedovichi,RU,57.5517,29.9502,45.16,90,100,9.22,overcast clouds
219,Kapit,MY,2.0167,112.9333,84.27,72,97,1.21,overcast clouds
220,Cascais,PT,38.6979,-9.4215,60.51,96,4,7.0,clear sky
221,Atasu,KZ,48.6814,71.6433,27.16,91,100,8.5,overcast clouds
222,Bulnes,CL,-36.7423,-72.2985,54.36,94,61,9.62,broken clouds
223,Wexford,IE,52.3342,-6.4575,56.21,85,85,25.57,overcast clouds
224,Rockport,US,28.0206,-97.0544,78.82,100,40,14.97,scattered clouds
225,Jalingo,NG,8.8833,11.3667,73.76,48,54,2.24,broken clouds
226,Ilulissat,GL,69.2167,-51.1,6.82,61,75,8.05,broken clouds
227,Yerbogachen,RU,61.2767,108.0108,20.43,92,100,12.82,light snow
228,Beian,NO,63.6559,9.5683,49.01,93,75,11.5,broken clouds
229,Svetlaya,RU,46.5389,138.3297,39.33,30,0,8.95,clear sky
230,Marquette,US,46.5333,-87.6335,52.77,87,100,10.89,overcast clouds
